DateTime, Sensor, Temperature (Celcius), Pressure (hPa))
2017-04-28 00:39:37 +0800, BMP280, 22.991362, 1017.009705
2017-04-28 00:40:07 +0800, BMP280, 22.987347, 1017.035400
2017-04-28 00:40:37 +0800, BMP280, 22.987347, 1017.013794
2017-04-28 00:41:07 +0800, BMP280, 22.985338, 1017.026672
2017-04-28 00:41:37 +0800, BMP280, 22.983332, 1016.996155
2017-04-28 00:42:07 +0800, BMP280, 22.983332, 1016.963745
2017-04-28 00:42:37 +0800, BMP280, 22.973295, 1016.952148
2017-04-28 00:43:07 +0800, BMP280, 22.969280, 1016.896729
2017-04-28 00:43:37 +0800, BMP280, 22.974298, 1016.921387
2017-04-28 00:44:07 +0800, BMP280, 22.973295, 1016.914307
2017-04-28 00:44:37 +0800, BMP280, 22.974298, 1016.910583
2017-04-28 00:45:07 +0800, BMP280, 22.978313, 1016.901123
2017-04-28 00:45:37 +0800, BMP280, 22.981323, 1016.873779
2017-04-28 00:46:07 +0800, BMP280, 22.982328, 1016.897156
2017-04-28 00:46:37 +0800, BMP280, 22.978313, 1016.906555
2017-04-28 00:47:07 +0800, BMP280, 22.978313, 1016.917358
2017-04-28 00:47:37 +0800, BMP280, 22.974298, 1016.888977
2017-04-28 00:48:07 +0800, BMP280, 22.967272, 1016.909668
2017-04-28 00:48:37 +0800, BMP280, 22.967272, 1016.909668
2017-04-28 00:49:07 +0800, BMP280, 22.971287, 1016.916382
2017-04-28 00:49:37 +0800, BMP280, 22.968277, 1016.911377
2017-04-28 00:50:07 +0800, BMP280, 22.970284, 1016.898438
2017-04-28 00:50:37 +0800, BMP280, 22.970284, 1016.898438
2017-04-28 00:51:07 +0800, BMP280, 22.976305, 1016.881470
2017-04-28 00:51:37 +0800, BMP280, 22.977308, 1016.915649
2017-04-28 00:52:07 +0800, BMP280, 22.970284, 1016.898438
2017-04-28 00:52:37 +0800, BMP280, 22.965265, 1016.884583
2017-04-28 00:53:07 +0800, BMP280, 22.960247, 1016.870850
2017-04-28 00:53:37 +0800, BMP280, 22.965265, 1016.841370
2017-04-28 00:54:07 +0800, BMP280, 22.959244, 1016.879944
2017-04-28 00:54:37 +0800, BMP280, 22.952217, 1016.819458
2017-04-28 00:55:07 +0800, BMP280, 22.958239, 1016.834961
2017-04-28 00:55:37 +0800, BMP280, 22.955229, 1016.840698
2017-04-28 00:56:07 +0800, BMP280, 22.956232, 1016.842346
2017-04-28 00:56:37 +0800, BMP280, 22.960247, 1016.838318
2017-04-28 00:57:07 +0800, BMP280, 22.960247, 1016.832947
2017-04-28 00:57:38 +0800, BMP280, 22.956232, 1016.815308
2017-04-28 00:58:08 +0800, BMP280, 22.960247, 1016.789612
2017-04-28 00:58:38 +0800, BMP280, 22.958239, 1016.824158
2017-04-28 00:59:08 +0800, BMP280, 22.957235, 1016.817017
2017-04-28 00:59:38 +0800, BMP280, 22.958239, 1016.818665
2017-04-28 01:00:08 +0800, BMP280, 22.957235, 1016.811523
2017-04-28 01:00:38 +0800, BMP280, 22.963257, 1016.838013
2017-04-28 01:01:08 +0800, BMP280, 22.958239, 1016.856567
2017-04-28 01:01:38 +0800, BMP280, 22.957235, 1016.881836
2017-04-28 01:02:08 +0800, BMP280, 22.954224, 1016.838989
2017-04-28 01:02:38 +0800, BMP280, 22.960247, 1016.854553
2017-04-28 01:03:08 +0800, BMP280, 22.961250, 1016.840027
2017-04-28 01:03:38 +0800, BMP280, 22.958239, 1016.818726
2017-04-28 01:04:08 +0800, BMP280, 22.956232, 1016.837036
2017-04-28 01:04:38 +0800, BMP280, 22.960247, 1016.816650
2017-04-28 01:05:08 +0800, BMP280, 22.953220, 1016.826477
2017-04-28 01:05:38 +0800, BMP280, 22.951214, 1016.807007
2017-04-28 01:06:08 +0800, BMP280, 22.951214, 1016.823120
2017-04-28 01:06:38 +0800, BMP280, 22.958239, 1016.845703
2017-04-28 01:07:08 +0800, BMP280, 22.956232, 1016.847778
2017-04-28 01:07:38 +0800, BMP280, 22.957235, 1016.871094
2017-04-28 01:08:08 +0800, BMP280, 22.959244, 1016.869141
2017-04-28 01:08:38 +0800, BMP280, 22.964262, 1016.866760
2017-04-28 01:09:08 +0800, BMP280, 22.959244, 1016.885254
2017-04-28 01:09:38 +0800, BMP280, 22.954224, 1016.860657
2017-04-28 01:10:08 +0800, BMP280, 22.949205, 1016.852295
2017-04-28 01:10:38 +0800, BMP280, 22.947199, 1016.865112
2017-04-28 01:11:08 +0800, BMP280, 22.949205, 1016.863098
2017-04-28 01:11:38 +0800, BMP280, 22.947199, 1016.870544
2017-04-28 01:12:08 +0800, BMP280, 22.950211, 1016.859314
2017-04-28 01:12:38 +0800, BMP280, 22.951214, 1016.833984
2017-04-28 01:13:08 +0800, BMP280, 22.948202, 1016.839722
2017-04-28 01:13:38 +0800, BMP280, 22.951214, 1016.839355
2017-04-28 01:14:08 +0800, BMP280, 22.954224, 1016.822693
2017-04-28 01:14:38 +0800, BMP280, 22.954224, 1016.844421
2017-04-28 01:15:08 +0800, BMP280, 22.947199, 1016.821899
2017-04-28 01:15:38 +0800, BMP280, 22.946196, 1016.776855
2017-04-28 01:16:08 +0800, BMP280, 22.950211, 1016.816040
2017-04-28 01:16:38 +0800, BMP280, 22.949205, 1016.749451
2017-04-28 01:17:08 +0800, BMP280, 22.944187, 1016.784363
2017-04-28 01:17:38 +0800, BMP280, 22.955229, 1016.754089
2017-04-28 01:18:09 +0800, BMP280, 22.953220, 1016.734497
2017-04-28 01:18:39 +0800, BMP280, 22.948202, 1016.742432
2017-04-28 01:19:09 +0800, BMP280, 22.941177, 1016.714355
2017-04-28 01:19:39 +0800, BMP280, 22.944187, 1016.757324
2017-04-28 01:20:09 +0800, BMP280, 22.945190, 1016.731873
2017-04-28 01:20:39 +0800, BMP280, 22.942181, 1016.743042
2017-04-28 01:21:09 +0800, BMP280, 22.949205, 1016.727844
2017-04-28 01:21:39 +0800, BMP280, 22.943184, 1016.701416
2017-04-28 01:22:09 +0800, BMP280, 22.947199, 1016.686646
2017-04-28 01:22:39 +0800, BMP280, 22.949205, 1016.700806
2017-04-28 01:23:09 +0800, BMP280, 22.949205, 1016.695312
2017-04-28 01:23:39 +0800, BMP280, 22.940172, 1016.691040
2017-04-28 01:24:09 +0800, BMP280, 22.933147, 1016.679260
2017-04-28 01:24:39 +0800, BMP280, 22.937162, 1016.680603
2017-04-28 01:25:09 +0800, BMP280, 22.935154, 1016.688049
2017-04-28 01:25:39 +0800, BMP280, 22.940172, 1016.647827
2017-04-28 01:26:09 +0800, BMP280, 22.938166, 1016.682190
2017-04-28 01:26:39 +0800, BMP280, 22.936157, 1016.635681
2017-04-28 01:27:09 +0800, BMP280, 22.936157, 1016.597778
2017-04-28 01:27:39 +0800, BMP280, 22.945190, 1016.596680
2017-04-28 01:28:09 +0800, BMP280, 22.938166, 1016.584839
2017-04-28 01:28:39 +0800, BMP280, 22.939169, 1016.570312
2017-04-28 01:29:09 +0800, BMP280, 22.935154, 1016.585327
2017-04-28 01:29:39 +0800, BMP280, 22.940172, 1016.566650
2017-04-28 01:30:09 +0800, BMP280, 22.935154, 1016.569031
2017-04-28 01:30:39 +0800, BMP280, 22.940172, 1016.566650
2017-04-28 01:31:09 +0800, BMP280, 22.927126, 1016.550110
2017-04-28 01:31:39 +0800, BMP280, 22.932144, 1016.569397
2017-04-28 01:32:09 +0800, BMP280, 22.935154, 1016.558228
2017-04-28 01:32:39 +0800, BMP280, 22.933147, 1016.533264
2017-04-28 01:33:09 +0800, BMP280, 22.939169, 1016.521667
2017-04-28 01:33:39 +0800, BMP280, 22.942181, 1016.494263
2017-04-28 01:34:09 +0800, BMP280, 22.944187, 1016.481445
2017-04-28 01:34:39 +0800, BMP280, 22.942181, 1016.521301
2017-04-28 01:35:09 +0800, BMP280, 22.939169, 1016.494690
2017-04-28 01:35:39 +0800, BMP280, 22.936157, 1016.451721
2017-04-28 01:36:09 +0800, BMP280, 22.936157, 1016.451843
2017-04-28 01:36:39 +0800, BMP280, 22.932144, 1016.445007
2017-04-28 01:37:09 +0800, BMP280, 22.937162, 1016.437256
2017-04-28 01:37:39 +0800, BMP280, 22.936157, 1016.403015
2017-04-28 01:38:09 +0800, BMP280, 22.939169, 1016.440491
2017-04-28 01:38:40 +0800, BMP280, 22.938166, 1016.406433
2017-04-28 01:39:10 +0800, BMP280, 22.938166, 1016.438904
2017-04-28 01:39:40 +0800, BMP280, 22.936157, 1016.381409
2017-04-28 01:40:10 +0800, BMP280, 22.933147, 1016.370972
2017-04-28 01:40:40 +0800, BMP280, 22.934151, 1016.378113
2017-04-28 01:41:10 +0800, BMP280, 22.930136, 1016.376648
2017-04-28 01:41:40 +0800, BMP280, 22.931139, 1016.356689
2017-04-28 01:42:10 +0800, BMP280, 22.938166, 1016.352295
2017-04-28 01:42:40 +0800, BMP280, 22.930136, 1016.333313
2017-04-28 01:43:10 +0800, BMP280, 22.928129, 1016.308350
2017-04-28 01:43:40 +0800, BMP280, 22.924114, 1016.307068
2017-04-28 01:44:10 +0800, BMP280, 22.931139, 1016.313477
2017-04-28 01:44:40 +0800, BMP280, 22.931139, 1016.318848
2017-04-28 01:45:10 +0800, BMP280, 22.930136, 1016.300964
2017-04-28 01:45:40 +0800, BMP280, 22.927126, 1016.306702
2017-04-28 01:46:10 +0800, BMP280, 22.918093, 1016.307739
2017-04-28 01:46:40 +0800, BMP280, 22.919096, 1016.298584
2017-04-28 01:47:10 +0800, BMP280, 22.932144, 1016.299011
2017-04-28 01:47:40 +0800, BMP280, 22.928129, 1016.319214
2017-04-28 01:48:10 +0800, BMP280, 22.932144, 1016.353027
2017-04-28 01:48:40 +0800, BMP280, 22.931139, 1016.345947
2017-04-28 01:49:10 +0800, BMP280, 22.926121, 1016.337463
2017-04-28 01:49:40 +0800, BMP280, 22.925117, 1016.341187
2017-04-28 01:50:10 +0800, BMP280, 22.924114, 1016.328613
2017-04-28 01:50:40 +0800, BMP280, 22.927126, 1016.355408
2017-04-28 01:51:10 +0800, BMP280, 22.925117, 1016.335754
2017-04-28 01:51:40 +0800, BMP280, 22.928129, 1016.346252
2017-04-28 01:52:10 +0800, BMP280, 22.929132, 1016.326294
2017-04-28 01:52:40 +0800, BMP280, 22.929132, 1016.337097
2017-04-28 01:53:10 +0800, BMP280, 22.919096, 1016.341858
2017-04-28 01:53:40 +0800, BMP280, 22.923111, 1016.332397
2017-04-28 01:54:10 +0800, BMP280, 22.925117, 1016.346558
2017-04-28 01:54:40 +0800, BMP280, 22.927126, 1016.349976
2017-04-28 01:55:10 +0800, BMP280, 22.926121, 1016.326660
2017-04-28 01:55:40 +0800, BMP280, 22.918093, 1016.334778
2017-04-28 01:56:10 +0800, BMP280, 22.915081, 1016.329773
2017-04-28 01:56:40 +0800, BMP280, 22.924114, 1016.344910
2017-04-28 01:57:10 +0800, BMP280, 22.925117, 1016.362793
2017-04-28 01:57:40 +0800, BMP280, 22.928129, 1016.351685
2017-04-28 01:58:10 +0800, BMP280, 22.930136, 1016.333374
2017-04-28 01:58:40 +0800, BMP280, 22.928129, 1016.346191
2017-04-28 01:59:10 +0800, BMP280, 22.924114, 1016.307068
2017-04-28 01:59:41 +0800, BMP280, 22.921103, 1016.302002
2017-04-28 02:00:11 +0800, BMP280, 22.917088, 1016.295227
2017-04-28 02:00:41 +0800, BMP280, 22.921103, 1016.280396
2017-04-28 02:01:11 +0800, BMP280, 22.924114, 1016.312439
2017-04-28 02:01:41 +0800, BMP280, 22.922106, 1016.325317
2017-04-28 02:02:11 +0800, BMP280, 22.914078, 1016.328003
2017-04-28 02:02:41 +0800, BMP280, 22.910063, 1016.315857
2017-04-28 02:03:11 +0800, BMP280, 22.907051, 1016.310791
2017-04-28 02:03:41 +0800, BMP280, 22.906048, 1016.363159
2017-04-28 02:04:11 +0800, BMP280, 22.915081, 1016.318970
2017-04-28 02:04:41 +0800, BMP280, 22.918093, 1016.280762
2017-04-28 02:05:11 +0800, BMP280, 22.919096, 1016.287781
2017-04-28 02:05:41 +0800, BMP280, 22.918093, 1016.269897
2017-04-28 02:06:11 +0800, BMP280, 22.923111, 1016.299927
2017-04-28 02:06:41 +0800, BMP280, 22.928129, 1016.319153
2017-04-28 02:07:11 +0800, BMP280, 22.923111, 1016.316162
2017-04-28 02:07:41 +0800, BMP280, 22.912069, 1016.303040
2017-04-28 02:08:11 +0800, BMP280, 22.914078, 1016.311829
